auction_date,item_id,raw_text
02/03/2026,AITEM_1486250,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0969
Certificate #:	2023-11841
Opening Bid:	$7,763.66
Parcel ID:	422534200006"
02/03/2026,AITEM_1486251,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0970
Certificate #:	2023-5170
Opening Bid:	$11,064.70
Parcel ID:	402227211002
Property Address:	404 DUNN DR
	PORT CHARLOTTE, FL- 33952"
02/03/2026,AITEM_1486252,"Auction Sold
02/03/2026 09:02 AM ET
Amount
$12,000.00
Sold To
3rd Party Bidder
Auction Type:	TAXDEED
Case #:	25-0972
Certificate #:	2022-6076
Opening Bid:	$11,956.10
Parcel ID:	402322107005
Property Address:	27101 DEL PRADO PKWY
	PUNTA GORDA, FL- 33983
Assessed Value:	$11,773.00"
02/03/2026,AITEM_1486253,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0973
Certificate #:	2023-3132
Opening Bid:	$18,692.90
Parcel ID:	402203355005
Property Address:	21043 TUCKER AVENUE
	PORT CHARLOTTE, FL- 33954"
02/03/2026,AITEM_1486254,"Auction Sold
02/03/2026 09:04 AM ET
Amount
$13,600.00
Sold To
3rd Party Bidder
Auction Type:	TAXDEED
Case #:	25-0974
Certificate #:	2023-9256
Opening Bid:	$2,797.00
Parcel ID:	412132404004
Property Address:	39 WILLOW RD
	PLACIDA, FL- 33946
Assessed Value:	$6,571.00"
02/03/2026,AITEM_1486255,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0976
Certificate #:	2023-9302
Opening Bid:	$2,953.56
Parcel ID:	412133178011"
02/03/2026,AITEM_1486256,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0977
Certificate #:	2023-9342
Opening Bid:	$3,510.46
Parcel ID:	412133353005
Property Address:	24 JESSAMINE WAY
	PLACIDA, FL- 33946
Assessed Value:	$14,934.00"
02/03/2026,AITEM_1486257,"Auction Sold
02/03/2026 09:17 AM ET
Amount
$7,500.00
Sold To
3rd Party Bidder
Auction Type:	TAXDEED
Case #:	25-0978
Certificate #:	2023-9364
Opening Bid:	$2,752.48
Parcel ID:	412133477001
Property Address:	14371 STURGON CT
	PLACIDA, FL- 33946
Assessed Value:	$4,675.00"
02/03/2026,AITEM_1486258,"Auction Status
Redeemed
Auction Type:	TAXDEED
Case #:	25-0979
Certificate #:	2023-10407
Opening Bid:	$2,100.41
Parcel ID:	422104256008
Property Address:	14310 SWORDFISH CT
	PLACIDA, FL- 33946
Assessed Value:	$5,476.00"
02/03/2026,AITEM_1486259,"Auction Status
Canceled per County
Auction Type:	TAXDEED
Case #:	25-0980
Certificate #:	2023-10411
Opening Bid:	$2,680.48
Parcel ID:	422104259002
Property Address:	14395 SAILOR CT
	PLACIDA, FL- 33946
Assessed Value:	$11,050.00"
02/10/2026,AITEM_1489982,"Auction Type:	TAXDEED
Case #:	25-0936
Certificate #:	2023-7379
Opening Bid:	$1,687.59
Parcel ID:	412017432007
Assessed Value:	$7,637.00"
02/10/2026,AITEM_1487163,"Auction Type:	TAXDEED
Case #:	25-0941
Certificate #:	2019-14698
Opening Bid:	$2,874.26
Parcel ID:	422416426011
Property Address:	32856 OIL WELL RD
	PUNTA GORDA, FL- 33955
Assessed Value:	$7,877.00"
02/10/2026,AITEM_1489988,"Auction Type:	TAXDEED
Case #:	25-0963
Certificate #:	2023-7378
Opening Bid:	$12,626.55
Parcel ID:	412017432004
Property Address:	3161 TENTH STREET
	ENGLEWOOD, FL- 34224
Assessed Value:	$41,732.00"
02/10/2026,AITEM_1487166,"Auction Type:	TAXDEED
Case #:	25-1029
Certificate #:	2023-101
Opening Bid:	$4,601.03
Parcel ID:	402101408003
Property Address:	17170 TOLEDO BLADE BLVD
	PORT CHARLOTTE, FL- 33954
Assessed Value:	$20,044.00"
02/10/2026,AITEM_1487168,"Auction Type:	TAXDEED
Case #:	25-1031
Certificate #:	2023-256
Opening Bid:	$4,349.53
Parcel ID:	402103181030
Property Address:	235 TAMIAMI TRL
	PORT CHARLOTTE, FL- 33953
Assessed Value:	$37,270.00"
02/10/2026,AITEM_1487169,"Auction Type:	TAXDEED
Case #:	25-1032
Certificate #:	2023-1808
Opening Bid:	$2,887.32
Parcel ID:	402115177008
Property Address:	15197 TIVOLI AVE
	PORT CHARLOTTE, FL- 33953
Assessed Value:	$5,227.00"
02/10/2026,AITEM_1487172,"Auction Type:	TAXDEED
Case #:	25-1038
Certificate #:	2023-6868
Opening Bid:	$11,593.02
Parcel ID:	412004108012
Property Address:	1279 FLAMINGO DR
	ENGLEWOOD, FL- 34224
Assessed Value:	$125,820.00"
02/10/2026,AITEM_1487173,"Auction Type:	TAXDEED
Case #:	25-1039
Certificate #:	2023-7143
Opening Bid:	$3,181.97
Parcel ID:	412012252017
Property Address:	7250 PEACOCK LN
	ENGLEWOOD, FL- 34224
Assessed Value:	$10,952.00"
02/10/2026,AITEM_1487174,"Auction Type:	TAXDEED
Case #:	25-1040
Certificate #:	2023-8184
Opening Bid:	$2,652.13
Parcel ID:	412117157004
Property Address:	404 BAYTREE DR
	ROTONDA WEST, FL- 33947
Assessed Value:	$5,545.00"
02/10/2026,AITEM_1487175,"Auction Type:	TAXDEED
Case #:	25-1041
Certificate #:	2023-9027
Opening Bid:	$2,915.70
Parcel ID:	412130258003
Property Address:	19 MATE DR
	PLACIDA, FL- 33946
Assessed Value:	$10,044.00"
02/10/2026,AITEM_1487164,"Auction Type:	TAXDEED
Case #:	25-0985
Certificate #:	2023-3827
Opening Bid:	$29,456.58
Parcel ID:	402211408001
Property Address:	22293 ADORN AVE
	PORT CHARLOTTE, FL- 33952"
02/10/2026,AITEM_1487165,"Auction Type:	TAXDEED
Case #:	25-1028
Certificate #:	2023-8474
Opening Bid:	$3,655.33
Parcel ID:	412120482017
Property Address:	9917 CALUMET BLVD
	PORT CHARLOTTE, FL- 33981
Assessed Value:	$11,201.00"
02/10/2026,AITEM_1487167,"Auction Type:	TAXDEED
Case #:	25-1030
Certificate #:	2023-7979
Opening Bid:	$3,634.63
Parcel ID:	412108353001"
02/10/2026,AITEM_1487170,"Auction Type:	TAXDEED
Case #:	25-1033
Certificate #:	2023-4497
Opening Bid:	$3,099.10
Parcel ID:	402219337001"
02/10/2026,AITEM_1487171,"Auction Type:	TAXDEED
Case #:	25-1037
Certificate #:	2023-6569
Opening Bid:	$9,139.44
Parcel ID:	402616400003
Assessed Value:	$54,739.00"
02/10/2026,AITEM_1487176,"Auction Type:	TAXDEED
Case #:	25-1042
Certificate #:	2023-9418
Opening Bid:	$3,526.49
Parcel ID:	412213258007"
02/10/2026,AITEM_1487178,"Auction Type:	TAXDEED
Case #:	25-1045
Certificate #:	2023-10779
Opening Bid:	$1,760.93
Parcel ID:	422302303003
Property Address:	28078 CALOBAR CT
	PUNTA GORDA, FL- 33955
Assessed Value:	$3,559.00"
02/10/2026,AITEM_1487182,"Auction Type:	TAXDEED
Case #:	25-1050
Certificate #:	2023-7049
Opening Bid:	$22,945.60
Parcel ID:	412010457004
Property Address:	7472 ESCONDIDO ST
	ENGLEWOOD, FL- 34224"
02/10/2026,AITEM_1487188,"Auction Type:	TAXDEED
Case #:	25-1060
Certificate #:	2023-11948
Opening Bid:	$12,101.27
Parcel ID:	402226602037
Property Address:	4158 TAMIAMI TRAIL
	PORT CHARLOTTE, FL- 33952
Assessed Value:	$93,574.00"
