Search Link,Name,Short Name,Tax Status,Parcels,County Code,County Name,State,Auction Date,Time,Location,Notes,Register Date,Register Link,List Link,Purchase Info Link
https://parcelfair.com/map?countyCode=2,Mobile County ADOR EBuy Auction,Mobile ADOR EBuy Auction,Quit Claim,0,2,Mobile,AL,2026-01-19,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=1,Jefferson-Birmingham County ADOR EBuy Auction,Jefferson-Birmingham ADOR EBuy Auction,Quit Claim,0,1,Jefferson-Birmingham,AL,2026-02-02,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=2,Mobile County ADOR EBuy Auction,Mobile ADOR EBuy Auction,Quit Claim,1,2,Mobile,AL,2026-02-16,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=1,Jefferson-Birmingham County ADOR EBuy Auction,Jefferson-Birmingham ADOR EBuy Auction,Quit Claim,1,1,Jefferson-Birmingham,AL,2026-03-02,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=2,Mobile County ADOR EBuy Auction,Mobile ADOR EBuy Auction,Quit Claim,1,2,Mobile,AL,2026-03-16,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=31,Etowah County ADOR EBuy Auction,Etowah ADOR EBuy Auction,Quit Claim,1,31,Etowah,AL,2026-03-30,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=3,Montgomery County ADOR EBuy Auction,Montgomery ADOR EBuy Auction,Quit Claim,1,3,Montgomery,AL,2026-04-06,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=1,Jefferson-Birmingham County ADOR EBuy Auction,Jefferson-Birmingham ADOR EBuy Auction,Quit Claim,1,1,Jefferson-Birmingham,AL,2026-04-13,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=2,Mobile County ADOR EBuy Auction,Mobile ADOR EBuy Auction,Quit Claim,1,2,Mobile,AL,2026-04-20,,Online (ADOR EBuy),Quit Claim Deed,N/A,,,https://www.ebuy.alabama.gov/ador_eBuy/landingPage.action
https://parcelfair.com/map?countyCode=37,(Preview) Henry County Tax Lien Auction,(Preview) Henry Tax Lien Auction,Lien,866,37,Henry,AL,2026-04-21,11:00 AM,Online (GovEase),,N/A,,https://liveauctions.govease.com/al/alhenry/1335/browsebiddown,
https://parcelfair.com/map?countyCode=38,2026 Houston County Tax Lien Auction,Houston Tax Lien Auction,Lien,0,38,Houston,AL,2026-05-04,10:00 AM E,Online (GovEase),Tax Lien Auction,N/A,,https://liveauctions.govease.com/al/alhouston/1475/browsebiddown,
